Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
365000.0;58.2;2;0;4;4;1917;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0.0
542250.0;72.3;3;1;1;1;2022;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;8.6
449000.0;60.9;2;0;4;4;1994;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3.2
295000.0;48.05;2;1;1;1;2020;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;27.0
599000.0;82.0;3;0;1;1;2018;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;6.4
280000.0;33.39;1;0;7;7;2020;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;5.9
440000.0;34.18;2;0;2;4;2016;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6.4
285000.0;32.13;1;0;2;4;2016;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;8.6
800000.0;125.18;4;0;2;4;1930;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0.0
318000.0;34.9;1;0;3;3;2003;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3.8
89000.0;10.39;1;0;1;4;1930;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0.0
459000.0;71.82;3;0;0;11;1980;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;6.4
475000.0;71.0;3;0;3;4;1930;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0.0
295000.0;39.95;2;0;11;11;1975;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;7.1
730000.0;132.2;5;0;3;4;1920;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0.0
650000.0;112.7;4;0;2;4;1930;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1.7
470000.0;76.67;3;0;0;2;1930;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;3.7
