Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
480000.0;108.73;4;1;1;1.0;2021.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;17.7
480000.0;108.73;4;1;1;1.0;2021.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;14.7
480000.0;108.73;4;1;1;1.0;2021.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0.0
599000.0;69.0;3;1;1;4.0;2021.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;10.0
480000.0;108.73;4;1;1;1.0;2021.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;20.1
315000.0;75.0;4;0;2;4.0;1978.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.1
289000.0;54.0;2;0;2;3.0;1900.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;6.8
327000.0;37.96;2;0;3;3.0;2019.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;33.1
560000.0;60.2;3;1;2;5.0;2019.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;22.9
352700.0;46.26;3;1;1;5.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;12.9
314000.0;48.3;3;1;0;5.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;12.9
194955.0;24.6;1;1;2;5.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;12.9
359600.0;35.96;2;1;2;8.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.7
364000.0;37.55;2;1;4;8.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.7
333400.0;28.87;1;1;2;8.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0.0
316881.75;28.23;1;1;1;4.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.7
363196.0;35.96;2;1;3;8.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.7
505656.0;46.82;3;1;4;6.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.7
491500.0;53.15;3;1;2;13.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.7
468464.0;50.92;3;1;0;8.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.7
591653.5;85.13;4;1;2;11.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3.8
329000.0;51.0;3;0;3;10.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;10.5
372937.0;53.66;3;1;1;11.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3.8
386248.5;50.49;3;1;1;11.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3.8
384710.0;49.64;3;1;2;11.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3.8
376090.0;52.6;2;1;1;11.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3.8
531000.0;67.15;4;1;1;2.0;2022.0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;9.2
