Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
377720.0;56.8;3;1;2;4;2022;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2.0
380000.0;68.63;4;0;10;11;1975;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;6.2
215000.0;40.0;2;0;3;3;1900;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;3.7
438914.0;58.6;2;1;0;2;2021;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;4.6
480858.0;64.2;3;1;0;2;2021;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;4.6
288365.0;38.5;2;1;0;2;2021;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;4.6
444690.0;61.0;3;1;0;2;2021;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;4.6
343000.0;59.0;3;0;2;4;1970;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;6.2
339000.0;63.0;3;0;4;4;1985;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.4
444157.0;59.3;2;1;1;2;2021;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;4.6
472392.0;64.8;2;1;2;2;2021;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;4.6
531041.0;70.9;3;1;0;2;2021;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;4.6
449000.0;74.55;4;0;0;4;1992;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.4
349000.0;47.05;3;0;0;2;1960;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;6.2
409000.0;74.0;4;0;1;3;1985;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;14.4
269500.0;34.0;1;0;1;4;1978;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;10.8
249000.0;65.8;3;0;1;2;1904;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;9.5
448651.0;59.9;3;1;1;2;2021;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;4.6
369000.0;70.0;3;0;1;3;1990;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.4
279000.0;49.0;2;0;2;6;1990;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;14.4
289913.0;37.7;2;1;1;2;2021;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;4.6
444157.0;59.3;2;1;2;2;2021;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;4.6
531041.0;70.9;3;1;1;2;2021;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;4.6
444157.0;59.3;3;1;2;2;2021;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;4.6
460641.0;65.9;3;1;2;2;2021;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;4.6
