Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Rok budowy;Liczba pięter;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
450000.0;57.0;3;0;2;1960;3;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2.5
189000.0;47.0;3;0;3;2003;3;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;12.7
419000.0;64.0;4;0;4;1980;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;7.4
345000.0;50.0;2;0;0;1985;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.5
370000.0;52.0;3;0;1;1981;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.5
330000.0;46.0;2;0;2;1960;3;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;2.6
760000.0;80.3;4;0;0;2017;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2.6
240000.0;62.6;2;0;3;1930;3;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;2.6
360000.0;53.0;2;0;3;1994;10;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2.6
458000.0;130.7;3;0;5;1900;5;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;2.6
329000.0;56.3;3;0;2;1948;4;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2.6
420000.0;53.0;5;0;3;1948;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2.6
335000.0;39.94;2;1;5;2021;8;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;7.6
255000.0;37.2;2;0;1;1976;10;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;53.9
435000.0;88.89;6;0;2;1910;3;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2.5
300000.0;46.0;2;0;4;1976;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;36.8
289000.0;43.1;2;0;0;1970;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;3.9
265000.0;45.0;2;0;3;1978;4;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;5.2
350000.0;51.36;2;0;1;1988;4;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;6.2
316000.0;39.27;2;1;1;2022;6;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;5.8
298900.0;39.14;2;1;2;2022;6;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;5.8
417000.0;61.0;3;0;4;1988;8;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3.2
459710.0;52.24;2;0;0;2021;7;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;2.5
465000.0;58.2;4;0;4;1970;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1.7
345000.0;43.0;2;0;6;2021;8;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;4.3
585189.0;77.1;3;1;0;2021;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;6.9
694107.0;99.3;4;1;1;2021;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;6.9
340000.0;43.0;2;0;2;1973;10;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;6.6
344625.0;45.95;2;1;2;2020;2;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;11.4
699000.0;109.0;3;0;2;2006;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;6.9
310000.0;42.66;2;0;3;1980;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;5.2
321000.0;49.56;2;0;1;1991;4;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;11.2
380000.0;53.5;2;0;4;1980;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.2
275000.0;36.69;2;0;5;1970;10;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.8
263000.0;44.61;2;0;1;1980;4;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;7.5
359000.0;58.0;3;0;8;1976;21;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1.7
