Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_plomba;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
303876.0;29.36;1;1;0;5.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.1
379500.0;46.8;2;0;3;15.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;4.5
440000.0;63.9;3;0;4;4.0;1996.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.3
766000.0;69.7;3;1;3;4.0;2020.0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;2.7
380000.0;32.0;1;0;7;9.0;2020.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.5
419000.0;32.1;1;0;4;4.0;2000.0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2.4
293742.0;17.69;1;1;1;6.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.6
269015.0;26.26;1;1;0;6.0;2023.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.1
323467.0;37.45;2;1;0;6.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.1
384948.0;44.35;3;1;0;6.0;2022.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.1
297000.0;43.0;2;0;2;4.0;1910.0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;3.4
469000.0;70.2;4;0;4;4.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.5
399000.0;58.96;2;0;1;4.0;1960.0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;3.5
265740.0;30.9;1;0;4;4.0;1905.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;4.5
544380.0;63.3;2;0;4;4.0;1905.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;4.5
457330.0;55.1;2;0;4;4.0;1905.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;4.5
417490.0;50.3;2;0;4;4.0;1905.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;4.5
268320.0;31.2;1;0;4;4.0;1905.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;4.5
510000.0;100.0;4;0;4;4.0;1902.0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;4.5
459900.0;73.0;3;0;4;4.0;1902.0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;4.5
413340.0;49.8;2;0;2;5.0;1905.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;4.5
536000.0;67.0;4;0;4;4.0;1904.0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;4.5
400000.0;50.0;3;0;1;4.0;1902.0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;4.5
288000.0;32.0;1;0;0;4.0;1902.0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;4.5
674000.0;86.0;4;1;0;2.0;2020.0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1.8
846000.0;109.0;4;0;1;4.0;1910.0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;5.2
535000.0;93.0;3;0;4;4.0;1930.0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;3.2
389000.0;49.18;2;0;0;3.0;1950.0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;3.5
