Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_loft;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;API_Google_Distance
399000.0;54.08;2;0;3;11.0;2012.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.2
325000.0;49.96;2;1;2;7.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;4.9
349381.5;56.81;3;1;3;6.0;2021.0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;3.8
303808.0;47.27;2;1;0;4.0;2022.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;5.2
277356.5;40.49;2;1;6;6.0;2021.0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;3.8
329100.0;38.97;2;1;0;10.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;37.3
219000.0;25.0;1;0;10;10.0;1986.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.3
359000.0;51.0;2;0;2;2.0;2008.0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1.2
490000.0;51.13;2;0;1;2.0;2010.0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1.2
349000.0;50.55;2;0;2;4.0;1964.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.2
440000.0;58.85;3;0;3;3.0;2021.0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1.2
599250.0;70.5;4;0;11;17.0;2020.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1.2
627895.0;73.87;4;0;11;17.0;2020.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1.2
430680.0;71.78;4;0;2;2.0;2020.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;6.0
395000.0;50.22;2;0;1;3.0;2015.0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3.5
395000.0;54.05;3;0;9;10.0;1975.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2.2
499000.0;42.95;2;0;1;1.0;2019.0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;7.8
380000.0;45.2;2;0;3;4.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.2
355000.0;54.09;3;0;0;1.0;2020.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1.2
520000.0;70.77;3;0;1;1.0;2021.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;5.1
599000.0;71.2;3;0;5;7.0;2011.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4.6
400000.0;44.67;2;0;1;4.0;2017.0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;6.1
386385.0;54.55;3;1;2;3.0;2021.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.7
390950.0;49.34;3;1;3;3.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.7
312615.0;30.99;1;1;3;3.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.7
351478.0;49.34;3;1;1;3.0;2022.0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3.7
437000.0;73.39;3;1;1;1.0;2020.0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;3.8
329000.0;53.0;2;0;8;10.0;1979.0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;3.0
450000.0;61.0;3;0;2;2.0;2011.0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;6.0
319000.0;54.8;3;0;4;4.0;1970.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2.1
350000.0;49.5;2;0;2;2.0;1980.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1.2
309000.0;52.1;2;0;0;4.0;1985.0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3.8
