Cena;Powierzchnia;Liczba pokoi;Rynek;Piętro;Liczba pięter;Rok budowy;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_szeregowiec;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Ogrzewanie_piece kaflowe;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Forma własności_pełna własność;Forma własności_spółdzielcze wł z KW;Forma własności_spółdzielcze własnościowe;API_Google_Distance
280000.0;47.5;2;0;0;2;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;21.9
285444.0;35.24;2;1;1;6;2023;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;26.3
415700.0;51.91;3;1;1;2;2021;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;36.9
367000.0;45.98;2;1;0;2;2023;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;36.9
285000.0;34.38;2;1;0;2;2023;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;36.9
314534.0;54.23;3;1;0;2;2022;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;25.7
314534.0;54.23;3;1;0;2;2022;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;25.7
225000.0;58.0;2;0;0;3;1950;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;2.6
310000.0;40.34;2;0;8;10;2020;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;37.6
394000.0;52.29;3;1;4;4;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;2.1
327000.0;44.6;3;1;3;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;2.1
392147.0;80.03;4;1;1;2;2022;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;25.7
311000.0;41.87;2;1;1;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;2.1
301000.0;39.94;2;1;1;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;2.1
300000.0;38.3;2;1;4;4;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;2.1
205000.0;25.2;1;1;2;7;2022;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;2.1
310000.0;52.0;2;0;3;10;1980;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;21.2
314500.0;54.59;3;0;4;10;1979;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2.4
285000.0;34.38;2;1;0;2;2023;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;36.9
578000.0;76.05;4;1;0;2;2022;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;36.9
